factor,timeframe,mkt_cap_class,top,side,cumulative_rtn,ann_rtn,ann_volatility,ann_sharpe
BAR,DAILY,SMALL,100,SHORT,-1.000000066125077,-1.000000004870950,19.495792343091094,-0.445631719282055
BAR,DAILY,SMALL,100,NEUTRAL,-0.998585225139646,-0.999895715551123,0.917734679331147,-0.649718255317089
BAR,WEEKLY,MID,50,SHORT,1.549872052588672,1.034126022948594,0.211956237196092,0.443404352681127
BAR,WEEKLY,MID,50,NEUTRAL,2.933561840248762,1.085911990778110,0.073854940678704,1.458428072762733
BAR,WEEKLY,MID,100,LONG,2.774714550097260,1.081292227678322,0.208584376359843,0.593279107997105
BAR,WEEKLY,MID,100,SHORT,1.459351021078558,1.029370888719419,0.188346865665878,0.459449207626731
BAR,WEEKLY,MID,100,NEUTRAL,2.851423857864110,1.083552833262030,0.059592586603315,1.764351766922368
BAR,WEEKLY,SMALL,20,LONG,6.400214188304118,1.152765482454574,0.284108522908122,0.673486569138200
BAR,WEEKLY,SMALL,20,SHORT,-0.774387230611853,-0.980609420589669,2.544049203621745,-0.305714490976602
BAR,WEEKLY,SMALL,20,NEUTRAL,-5.500871870081730,-1.139474534305048,1.283719590037459,-0.228402463240132
BAR,WEEKLY,SMALL,50,LONG,52.210075129710918,1.353789497909756,0.376957065876104,0.954074342856891
BAR,WEEKLY,SMALL,50,SHORT,3.597541544296336,1.103013202228930,2.560224327840966,-0.584761893612170
BAR,WEEKLY,SMALL,50,NEUTRAL,1.354411645510583,1.023504814786276,1.289583841818011,-0.441024664013178
BAR,WEEKLY,SMALL,100,LONG,23.683357951959583,1.274263604872848,0.252569501424875,1.087039119306012
BAR,WEEKLY,SMALL,100,SHORT,-0.999999999959972,-0.999999999996935,2.848603003859640,-0.841738580966860
BAR,DAILY,LARGE,20,LONG,5.286523346652106,1.132141945279559,0.233763296019116,0.698377390211481
BAR,DAILY,LARGE,20,SHORT,-0.729477815199649,-0.976764171369218,0.245525919158213,-0.266608694714643
BAR,DAILY,LARGE,20,NEUTRAL,0.886399879173823,0.991052411728258,0.056343168656512,0.867857258542559
BAR,DAILY,LARGE,50,LONG,4.171044660637150,1.112319188022701,0.224789546970137,0.652294730166121
BAR,DAILY,LARGE,50,SHORT,-0.779379119414313,-0.981593299261193,0.233968231069544,-0.356688762500352
BAR,DAILY,LARGE,50,NEUTRAL,0.513765645525228,0.951573011992378,0.036987105872169,0.854016509142410
BAR,DAILY,LARGE,100,LONG,3.702353457880764,1.102480767247927,0.223120106742156,0.623778972149301
BAR,DAILY,LARGE,100,SHORT,-0.813982754354412,-0.984776733108715,0.227974824380346,-0.427915272298054
BAR,DAILY,LARGE,100,NEUTRAL,0.315228217649717,0.917551482446487,0.027856911125617,0.747098657312551
BAR,DAILY,MID,20,LONG,6.177000253101247,1.143673134081767,0.228185589631234,0.751535731458481
BAR,DAILY,MID,20,SHORT,-0.213528890341178,-0.892406307873442,0.199820355250246,0.010784897127834
BAR,DAILY,MID,20,NEUTRAL,2.112179094522754,1.056675234970234,0.078867246962961,1.100866789915749
BAR,DAILY,MID,50,LONG,6.620819585684877,1.149538784037767,0.223804304199101,0.781510769554169
BAR,DAILY,MID,50,SHORT,0.011303128437229,0.718567454705377,0.198082182356013,0.102851134986598
BAR,DAILY,MID,50,NEUTRAL,2.647309087228508,1.074415478303396,0.066671429198451,1.464483764843714
BAR,DAILY,MID,100,LONG,7.068340613802528,1.155095537067183,0.223873293762215,0.800198187292143
BAR,DAILY,MID,100,SHORT,0.129195622264195,0.859952922469782,0.192394568715524,0.142555231544421
BAR,DAILY,MID,100,NEUTRAL,2.958487532894000,1.083255025487464,0.060474474397956,1.707909479158383
BAR,DAILY,SMALL,20,LONG,154482.075931506750106,2.411163295738227,19.415751237407167,0.377229667679698
BAR,DAILY,SMALL,20,SHORT,273.849734336029945,1.512006541769791,19.417433929040568,-0.370741080021452
BAR,DAILY,SMALL,20,NEUTRAL,0.878782159947408,0.990526597373299,0.177520797414788,0.353076830339481
BAR,DAILY,SMALL,50,LONG,259631.332176374454233,2.505163121520907,19.415641277597382,0.379121583641798
BAR,DAILY,SMALL,50,SHORT,-142.430602861004737,-1.440921010073124,19.627364477184510,-0.432788345617605
BAR,DAILY,SMALL,50,NEUTRAL,-0.868287558255035,-0.989650378925302,1.445437340053290,-0.392132505823069
BAR,DAILY,SMALL,100,LONG,988269.804604910749320,2.764385128701936,19.418589390552191,0.385991245835104
BAR,MONTHLY,LARGE,20,LONG,2.905656785830986,1.084384028746980,0.149754614195314,0.768365117736199
BAR,MONTHLY,LARGE,20,SHORT,-0.638876273805404,-0.966543770447749,0.192041944488134,-0.304495876305496
BAR,MONTHLY,LARGE,20,NEUTRAL,0.411643371811468,0.934809513564631,0.064070549326797,0.441624445146805
BAR,MONTHLY,LARGE,50,LONG,2.971806018383027,1.086239532447877,0.145510604236182,0.795603557449559
BAR,MONTHLY,LARGE,50,SHORT,-0.601706295602886,-0.962153572228727,0.173633801895043,-0.314914205230978
BAR,MONTHLY,LARGE,50,NEUTRAL,0.478063593129291,0.945490434794522,0.040774119277617,0.749114937786861
BAR,MONTHLY,LARGE,100,LONG,2.846420266960022,1.082688997127162,0.147012397937517,0.772727604152972
BAR,MONTHLY,LARGE,100,SHORT,-0.644066657974338,-0.967137930798802,0.155135309424452,-0.426617577429398
BAR,MONTHLY,LARGE,100,NEUTRAL,0.359663454516133,0.925274526588591,0.026480562168240,0.895318759801288
BAR,MONTHLY,MID,20,LONG,3.273293925523150,1.094240500807933,0.194213198277241,0.667624765704193
